SUBJECT	AGE	LANGUAGE	GENDER
1	35	English	female
2	39	English	female
3	41	English	male
4	48	English	female
5	22	English	male
6	28	English	male
7	27	English	female
8	28	English 	female
9	56	english	female
10	30	English	male
11	25	English	male
12	56	English	female
13	38	english	male
14	41	english	male
15	40	english	male
16	35	ENGLISH	male
17	65	English	male
18	24	english	female
19	37	english	female
20	41	english	female
21	36	English	male
22	48	English	female
23	28	English	female
24	58	english	female
25	21	english	male
26	32	English	female
27	31	English	male
28	45	English	male
29	51	English	female
30	33	english	male
31	25	english	male
32	42	english	female
33	26	English	male
34	25	english	female
35	36	English	female
36	57	English	female
37	28	english	male
38	30	english	female
39	45	English	female
40	52	english	female
41	38	English	male
42	35	English	male
43	33	English	male
44	50	English	female
45	34	english	male
46	30	English	female
47	36	English	male
48	36	English	female
49	35	english	female
50	29	english	female
