SUBJECT	ITEM	CONDITION	RT	SCALE	TYPE	RESP	TRIAL
1	1	V1c1	3443	V1	F	0	1
1	1	A1c1	4671	A1	F	0	2
1	3	M1a3	3425	M1	T	1	3
1	1	A2c1	1718	A2	F	0	4
1	1	Q1c1	1498	Q1	F	0	5
1	3	M2c3	1179	M2	F	0	6
1	3	Q1b3	881	Q1	U	1	7
1	2	C1b2	2316	C1	U	0	8
1	3	M1b3	680	M1	U	1	9
1	2	M1b2	863	M1	U	1	10
1	1	Q1a1	2532	Q1	T	0	11
1	2	Q2c2	1199	Q2	F	0	12
1	1	Q1b1	624	Q1	U	1	13
1	R1	C1aR1	1012	C1	T	0	14
1	1	C1c1	1152	C1	F	0	15
1	3	V1a3	656	V1	T	1	16
1	3	A1a3	537	A1	T	1	17
1	1	M2b1	1036	M2	U	1	18
1	1	V1b1	1125	V1	U	1	19
1	2	V1b2	1093	V1	U	0	20
1	1	A2a1	1561	A2	T	1	21
1	1	C1b1	1015	C1	U	1	22
1	1	Q2a1	765	Q2	T	0	23
1	1	A1b1	892	A1	U	1	24
1	1	M2c1	620	M2	F	0	25
1	2	A1a2	615	A1	T	1	26
1	1	M1b1	671	M1	U	1	27
1	2	A1c2	618	A1	F	0	28
1	3	Q2c3	841	Q2	F	0	29
1	3	Q2b3	597	Q2	U	1	30
1	3	Q2a3	762	Q2	T	1	31
1	2	M2b2	514	M2	U	1	32
1	3	A1b3	643	A1	U	1	33
1	2	Q1b2	683	Q1	U	1	34
1	3	Q1c3	1145	Q1	F	0	35
1	1	Q2c1	704	Q2	F	0	36
1	1	Q2b1	545	Q2	U	1	37
1	2	A2c2	748	A2	F	1	38
1	3	A2c3	2347	A2	F	1	39
1	2	Q1c2	2318	Q1	F	0	40
1	1	A2b1	1234	A2	U	1	41
1	2	A2b2	917	A2	U	1	42
1	1	V1a1	662	V1	T	1	43
1	1	M2a1	1903	M2	T	0	44
1	3	M2a3	1491	M2	T	0	45
1	3	Q1a3	686	Q1	T	1	46
1	2	A2a2	874	A2	T	1	47
1	2	Q2b2	731	Q2	U	1	48
1	2	M2a2	1234	M2	T	1	49
1	2	C1c2	1120	C1	F	0	50
1	2	A1b2	598	A1	U	1	51
1	L2	C1aL2	690	C1	T	1	52
1	2	M2c2	1272	M2	F	0	53
1	1	M1a1	623	M1	T	0	54
1	2	M1a2	575	M1	T	0	55
1	3	C1b3	616	C1	U	1	56
1	2	V1a2	497	V1	T	1	57
1	2	V1c2	908	V1	F	0	58
1	2	Q1a2	527	Q1	T	1	59
1	3	C1c3	529	C1	F	0	60
1	3	A2a3	743	A2	T	1	61
1	1	V1c1	1015	V1	F	0	62
1	3	A1c3	736	A1	F	0	63
1	1	M1c1	2324	M1	F	0	64
1	3	V1b3	2478	V1	U	0	65
1	2	Q2a2	733	Q2	T	1	66
1	1	A1a1	513	A1	T	1	67
1	3	A2b3	704	A2	U	0	68
1	3	M2b3	610	M2	U	1	69
1	L1	C1aL1	558	C1	T	1	70
1	2	M1c2	1353	M1	F	0	71
1	3	M1c3	988	M1	F	0	72
2	1	V1c1	3558	V1	F	0	1
2	2	A2b2	1527	A2	U	1	2
2	1	V1a1	1240	V1	T	1	3
2	1	Q2a1	1406	Q2	T	1	4
2	R1	C1aR1	2357	C1	T	1	5
2	3	A1b3	1184	A1	U	1	6
2	2	V1c2	1003	V1	F	0	7
2	2	C1b2	1314	C1	U	1	8
2	1	A2a1	1383	A2	T	0	9
2	1	Q1c1	1037	Q1	F	0	10
2	1	A1b1	1503	A1	U	1	11
2	3	Q2a3	1558	Q2	T	1	12
2	2	A2c2	1183	A2	F	1	13
2	2	Q2b2	1035	Q2	U	1	14
2	3	V1a3	1089	V1	T	1	15
2	3	Q2c3	1108	Q2	F	0	16
2	3	C1c3	1051	C1	F	0	17
2	1	C1b1	1215	C1	U	0	18
2	1	Q1a1	2729	Q1	T	1	19
2	1	A1c1	995	A1	F	0	20
2	3	Q1b3	1346	Q1	U	0	21
2	2	Q2c2	859	Q2	F	0	22
2	1	Q2c1	2066	Q2	F	0	23
2	1	M1b1	1274	M1	U	1	24
2	L2	C1aL2	928	C1	T	1	25
2	L1	C1aL1	1089	C1	T	1	26
2	2	C1c2	953	C1	F	0	27
2	2	A2a2	1309	A2	T	0	28
2	3	C1b3	883	C1	U	0	29
2	1	A1a1	945	A1	T	1	30
2	3	V1b3	2954	V1	U	0	31
2	3	M1c3	1403	M1	F	0	32
2	2	V1a2	938	V1	T	1	33
2	1	A2b1	1469	A2	U	1	34
2	2	M1a2	2180	M1	T	0	35
2	2	M2a2	1870	M2	T	0	36
2	3	M2a3	2711	M2	T	1	37
2	1	M2a1	2075	M2	T	1	38
2	2	Q2a2	1394	Q2	T	1	39
2	3	A1a3	755	A1	T	1	40
2	3	M2b3	1638	M2	U	1	41
2	1	Q2b1	979	Q2	U	1	42
2	3	A2c3	1450	A2	F	0	43
2	2	Q1b2	985	Q1	U	0	44
2	1	V1b1	1060	V1	U	0	45
2	1	M2c1	1476	M2	F	0	46
2	3	Q1a3	1460	Q1	T	1	47
2	2	M1b2	1182	M1	U	1	48
2	1	Q1b1	1055	Q1	U	0	49
2	2	Q1a2	823	Q1	T	1	50
2	2	A1b2	1384	A1	U	1	51
2	1	M1a1	3685	M1	T	1	52
2	3	Q2b3	1346	Q2	U	0	53
2	3	A2b3	834	A2	U	1	54
2	3	Q1c3	855	Q1	F	0	55
2	1	V1c1	890	V1	F	0	56
2	2	V1b2	953	V1	U	0	57
2	1	M2b1	2202	M2	U	1	58
2	1	M1c1	966	M1	F	0	59
2	3	A1c3	817	A1	F	0	60
2	2	A1a2	783	A1	T	1	61
2	2	M1c2	852	M1	F	0	62
2	1	C1c1	812	C1	F	0	63
2	3	M2c3	816	M2	F	0	64
2	1	A2c1	739	A2	F	0	65
2	3	M1a3	1524	M1	T	0	66
2	2	M2b2	1271	M2	U	1	67
2	2	M2c2	823	M2	F	0	68
2	3	A2a3	908	A2	T	1	69
2	3	M1b3	807	M1	U	1	70
2	2	A1c2	680	A1	F	0	71
2	2	Q1c2	590	Q1	F	0	72
3	1	V1c1	5592	V1	F	0	1
3	2	A1c2	3839	A1	F	0	2
3	L1	C1aL1	2898	C1	T	1	3
3	1	C1c1	1638	C1	F	0	4
3	2	A2c2	1202	A2	F	0	5
3	1	M2c1	905	M2	F	0	6
3	3	M2c3	1311	M2	F	0	7
3	3	A1b3	1409	A1	U	1	8
3	2	Q2a2	1017	Q2	T	1	9
3	L2	C1aL2	1772	C1	T	1	10
3	3	Q2a3	1107	Q2	T	1	11
3	1	A2c1	1283	A2	F	0	12
3	3	M2b3	7526	M2	U	0	13
3	2	M2c2	1227	M2	F	0	14
3	1	Q2a1	776	Q2	T	1	15
3	1	Q2b1	699	Q2	U	1	16
3	3	V1b3	1260	V1	U	1	17
3	3	Q2b3	6798	Q2	U	0	18
3	3	A1a3	1113	A1	T	1	19
3	1	Q1c1	744	Q1	F	0	20
3	1	A1c1	651	A1	F	0	21
3	1	V1b1	1258	V1	U	1	22
3	2	Q2c2	953	Q2	F	0	23
3	3	Q2c3	827	Q2	F	0	24
3	3	Q1a3	749	Q1	T	1	25
3	3	A2c3	794	A2	F	0	26
3	2	Q1a2	763	Q1	T	1	27
3	1	Q1a1	835	Q1	T	1	28
3	2	Q1b2	786	Q1	U	0	29
3	3	C1b3	4659	C1	U	0	30
3	1	A2b1	1574	A2	U	1	31
3	1	A1b1	640	A1	U	1	32
3	1	M1c1	2535	M1	F	0	33
3	2	Q1c2	819	Q1	F	0	34
3	1	Q1b1	5513	Q1	U	0	35
3	2	A1a2	648	A1	T	1	36
3	2	Q2b2	1293	Q2	U	0	37
3	3	M1a3	1632	M1	T	1	38
3	1	V1c1	886	V1	F	0	39
3	2	A2a2	870	A2	T	1	40
3	3	M1b3	2299	M1	U	1	41
3	2	A2b2	1288	A2	U	1	42
3	3	M2a3	874	M2	T	1	43
3	1	C1b1	1687	C1	U	0	44
3	2	C1c2	1073	C1	F	0	45
3	1	A1a1	550	A1	T	1	46
3	3	M1c3	1016	M1	F	0	47
3	3	Q1c3	752	Q1	F	0	48
3	2	C1b2	837	C1	U	0	49
3	2	V1b2	976	V1	U	1	50
3	2	M1a2	809	M1	T	1	51
3	3	C1c3	822	C1	F	0	52
3	2	M1c2	819	M1	F	0	53
3	3	A2a3	849	A2	T	1	54
3	R1	C1aR1	874	C1	T	1	55
3	1	M1a1	705	M1	T	1	56
3	2	M2b2	1162	M2	U	0	57
3	1	M2b1	981	M2	U	0	58
3	1	A2a1	742	A2	T	1	59
3	2	A1b2	633	A1	U	1	60
3	3	A2b3	1011	A2	U	1	61
3	3	A1c3	1012	A1	F	0	62
3	1	M1b1	810	M1	U	1	63
3	2	V1c2	1218	V1	F	0	64
3	1	M2a1	891	M2	T	1	65
3	1	Q2c1	788	Q2	F	0	66
3	2	M1b2	780	M1	U	1	67
3	3	V1a3	1566	V1	T	1	68
3	3	Q1b3	1121	Q1	U	0	69
3	2	M2a2	823	M2	T	1	70
3	2	V1a2	1067	V1	T	1	71
3	1	V1a1	1116	V1	T	1	72
4	1	V1c1	2986	V1	F	0	1
4	1	Q2b1	1677	Q2	U	1	2
4	1	M1a1	2158	M1	T	0	3
4	1	A2b1	1605	A2	U	1	4
4	1	Q1a1	1653	Q1	T	1	5
4	3	A2c3	2327	A2	F	0	6
4	1	M2a1	1901	M2	T	1	7
4	2	Q1c2	1510	Q1	F	0	8
4	3	C1c3	1213	C1	F	0	9
4	2	M2a2	3269	M2	T	1	10
4	1	A1c1	3374	A1	F	0	11
4	3	Q1a3	1358	Q1	T	1	12
4	3	V1a3	1293	V1	T	1	13
4	2	A1c2	1718	A1	F	0	14
4	1	A1a1	1812	A1	T	1	15
4	3	M1a3	1430	M1	T	0	16
4	2	Q2c2	3221	Q2	F	0	17
4	2	M2c2	1582	M2	F	0	18
4	1	Q2a1	1375	Q2	T	1	19
4	3	M2a3	1582	M2	T	1	20
4	1	V1c1	1278	V1	F	0	21
4	2	A2b2	2565	A2	U	1	22
4	2	M1c2	2446	M1	F	0	23
4	3	C1b3	1662	C1	U	1	24
4	2	V1c2	1254	V1	F	0	25
4	1	A2a1	1677	A2	T	1	26
4	R1	C1aR1	3205	C1	T	1	27
4	1	V1a1	1094	V1	T	1	28
4	3	V1b3	1413	V1	U	0	29
4	3	Q1b3	2470	Q1	U	1	30
4	2	Q2a2	1085	Q2	T	1	31
4	3	Q2c3	2958	Q2	F	0	32
4	2	V1a2	893	V1	T	1	33
4	2	Q1b2	3052	Q1	U	1	34
4	3	Q2a3	1237	Q2	T	1	35
4	2	M2b2	1429	M2	U	1	36
4	2	A2c2	1565	A2	F	0	37
4	1	Q1c1	1164	Q1	F	0	38
4	1	A1b1	7542	A1	U	0	39
4	3	M2b3	2260	M2	U	1	40
4	L2	C1aL2	1413	C1	T	1	41
4	1	M1b1	1108	M1	U	1	42
4	1	M1c1	1909	M1	F	0	43
4	3	A1a3	1246	A1	T	1	44
4	1	A2c1	1223	A2	F	0	45
4	1	M2b1	957	M2	U	1	46
4	3	A1c3	1109	A1	F	0	47
4	3	A2a3	1429	A2	T	1	48
4	1	M2c1	1534	M2	F	0	49
4	2	M1a2	1830	M1	T	0	50
4	3	M1b3	869	M1	U	1	51
4	1	Q1b1	2390	Q1	U	0	52
4	2	M1b2	790	M1	U	1	53
4	2	A1a2	949	A1	T	1	54
4	2	Q1a2	990	Q1	T	1	55
4	2	C1b2	1006	C1	U	1	56
4	2	Q2b2	708	Q2	U	1	57
4	2	V1b2	1174	V1	U	0	58
4	3	A1b3	2046	A1	U	0	59
4	2	C1c2	1102	C1	F	0	60
4	L1	C1aL1	846	C1	T	1	61
4	2	A2a2	910	A2	T	1	62
4	1	V1b1	1254	V1	U	0	63
4	3	A2b3	1221	A2	U	0	64
4	3	M2c3	1325	M2	F	0	65
4	3	Q1c3	2173	Q1	F	0	66
4	3	Q2b3	2477	Q2	U	1	67
4	1	C1b1	1326	C1	U	1	68
4	1	Q2c1	1318	Q2	F	0	69
4	1	C1c1	1198	C1	F	0	70
4	2	A1b2	1030	A1	U	0	71
4	3	M1c3	1566	M1	F	0	72
5	1	V1c1	2501	V1	F	1	1
5	3	M1c3	2230	M1	F	0	2
5	2	M1c2	938	M1	F	0	3
5	1	M2b1	3973	M2	U	0	4
5	2	M1b2	2145	M1	U	1	5
5	2	A1b2	1473	A1	U	1	6
5	3	Q2a3	939	Q2	T	1	7
5	2	M2a2	1294	M2	T	1	8
5	2	A2b2	1666	A2	U	1	9
5	2	Q2a2	867	Q2	T	1	10
5	2	A2a2	1029	A2	T	1	11
5	3	Q2c3	1893	Q2	F	0	12
5	1	Q1c1	1173	Q1	F	0	13
5	3	A1a3	906	A1	T	1	14
5	2	V1c2	2963	V1	F	1	15
5	1	A2b1	2077	A2	U	1	16
5	2	M2b2	808	M2	U	0	17
5	2	M2c2	1492	M2	F	0	18
5	2	Q2c2	1082	Q2	F	0	19
5	3	M2a3	687	M2	T	1	20
5	R1	C1aR1	974	C1	T	1	21
5	2	M1a2	1592	M1	T	1	22
5	3	A2a3	2484	A2	T	1	23
5	1	V1c1	2877	V1	F	1	24
5	2	V1a2	1144	V1	T	1	25
5	1	A1c1	1276	A1	F	0	26
5	1	Q2c1	1118	Q2	F	0	27
5	2	A1a2	993	A1	T	1	28
5	3	M2b3	1044	M2	U	0	29
5	2	Q1a2	1918	Q1	T	1	30
5	1	A2c1	1945	A2	F	0	31
5	1	M1a1	893	M1	T	1	32
5	3	A2c3	1277	A2	F	0	33
5	3	M1a3	2676	M1	T	1	34
5	1	M2c1	799	M2	F	0	35
5	1	M2a1	731	M2	T	1	36
5	1	M1c1	1893	M1	F	0	37
5	1	A1a1	785	A1	T	1	38
5	3	V1a3	826	V1	T	1	39
5	L1	C1aL1	1113	C1	T	1	40
5	3	A2b3	1066	A2	U	1	41
5	3	M1b3	877	M1	U	1	42
5	2	Q1c2	1102	Q1	F	0	43
5	1	Q2a1	759	Q2	T	1	44
5	1	Q1a1	740	Q1	T	1	45
5	3	M2c3	877	M2	F	0	46
5	1	Q2b1	984	Q2	U	1	47
5	3	Q1b3	1737	Q1	U	1	48
5	3	Q1a3	1091	Q1	T	1	49
5	3	C1c3	1088	C1	F	0	50
5	3	C1b3	1174	C1	U	1	51
5	1	A1b1	1246	A1	U	1	52
5	3	Q1c3	709	Q1	F	0	53
5	1	V1a1	699	V1	T	1	54
5	1	V1b1	2029	V1	U	1	55
5	2	Q2b2	875	Q2	U	1	56
5	2	V1b2	656	V1	U	1	57
5	L2	C1aL2	756	C1	T	1	58
5	3	A1b3	834	A1	U	1	59
5	3	Q2b3	776	Q2	U	1	60
5	2	C1c2	1370	C1	F	0	61
5	3	A1c3	747	A1	F	0	62
5	2	A2c2	1217	A2	F	0	63
5	1	Q1b1	868	Q1	U	1	64
5	3	V1b3	728	V1	U	1	65
5	2	C1b2	769	C1	U	1	66
5	1	M1b1	732	M1	U	1	67
5	2	A1c2	761	A1	F	0	68
5	2	Q1b2	1325	Q1	U	1	69
5	1	A2a1	800	A2	T	1	70
5	1	C1b1	729	C1	U	1	71
5	1	C1c1	817	C1	F	0	72
6	1	V1c1	1606	V1	F	0	1
6	2	M2a2	3473	M2	T	1	2
6	2	M2c2	1690	M2	F	0	3
6	2	A2b2	1490	A2	U	0	4
6	L2	C1aL2	3073	C1	T	1	5
6	2	Q1a2	1258	Q1	T	1	6
6	3	Q2c3	1961	Q2	F	0	7
6	L1	C1aL1	1667	C1	T	1	8
6	2	A1b2	8019	A1	U	0	9
6	2	V1b2	1107	V1	U	1	10
6	3	C1c3	923	C1	F	0	11
6	3	A1c3	4862	A1	F	0	12
6	3	Q1a3	1496	Q1	T	1	13
6	1	M2a1	1283	M2	T	1	14
6	1	A1b1	5658	A1	U	1	15
6	R1	C1aR1	2732	C1	T	1	16
6	3	A1a3	2017	A1	T	1	17
6	2	A2c2	1444	A2	F	1	18
6	3	Q2b3	1942	Q2	U	1	19
6	3	Q2a3	996	Q2	T	1	20
6	3	V1b3	1674	V1	U	1	21
6	1	A1a1	857	A1	T	1	22
6	3	M2b3	1143	M2	U	0	23
6	3	Q1b3	573	Q1	U	1	24
6	2	C1b2	814	C1	U	1	25
6	2	M2b2	1090	M2	U	1	26
6	2	M1b2	1393	M1	U	1	27
6	3	M2c3	964	M2	F	0	28
6	1	C1c1	793	C1	F	0	29
6	3	V1a3	2243	V1	T	1	30
6	2	Q1c2	779	Q1	F	0	31
6	1	V1c1	971	V1	F	0	32
6	1	A2c1	1357	A2	F	1	33
6	2	A2a2	1290	A2	T	1	34
6	1	V1b1	978	V1	U	0	35
6	1	A2b1	901	A2	U	0	36
6	2	Q1b2	1525	Q1	U	1	37
6	3	A2b3	696	A2	U	0	38
6	1	Q2a1	975	Q2	T	1	39
6	1	Q1b1	1781	Q1	U	0	40
6	2	Q2b2	2211	Q2	U	0	41
6	3	A1b3	1395	A1	U	0	42
6	3	Q1c3	622	Q1	F	0	43
6	1	M2b1	997	M2	U	1	44
6	2	A1a2	694	A1	T	1	45
6	1	M1b1	456	M1	U	1	46
6	3	A2c3	646	A2	F	1	47
6	1	M2c1	716	M2	F	0	48
6	2	M1c2	900	M1	F	0	49
6	2	V1a2	730	V1	T	1	50
6	3	M1a3	707	M1	T	0	51
6	2	M1a2	690	M1	T	0	52
6	1	Q1a1	790	Q1	T	1	53
6	3	A2a3	883	A2	T	1	54
6	1	M1a1	587	M1	T	0	55
6	3	M1c3	718	M1	F	0	56
6	1	V1a1	732	V1	T	1	57
6	3	M2a3	1171	M2	T	1	58
6	1	C1b1	4766	C1	U	0	59
6	1	Q2b1	788	Q2	U	0	60
6	2	V1c2	711	V1	F	0	61
6	2	Q2c2	1012	Q2	F	0	62
6	3	C1b3	744	C1	U	0	63
6	1	A1c1	607	A1	F	0	64
6	3	M1b3	606	M1	U	1	65
6	1	Q1c1	696	Q1	F	0	66
