SUBJECT	ITEM	CONDITION	RT	SCALE	TYPE	RESP	TRIAL	LOAD
1	2	A2c2	690	A2	F	0	1	low
1	1	V1a1	796	V1	T	1	2	low
1	2	Q1b2	756	Q1	U	0	3	low
1	2	M2c2	986	M2	F	1	4	low
1	2	M2a2	350	M2	T	0	5	low
1	1	A1a1	718	A1	T	1	6	low
1	3	A1a3	360	A1	T	0	7	low
1	1	Q1b1	416	Q1	U	1	8	low
1	2	A1a2	374	A1	T	0	9	low
1	2	Q2a2	530	Q2	T	0	10	low
1	2	V1c2	508	V1	F	0	11	low
1	1	Q2c1	322	Q2	F	1	12	low
1	3	A1b3	384	A1	U	0	13	low
1	3	Q2c3	502	Q2	F	1	14	low
1	3	V1a3	394	V1	T	0	15	low
1	3	A2a3	540	A2	T	1	16	low
1	3	Q1a3	446	Q1	T	0	17	low
1	1	M2a1	472	M2	T	1	18	low
1	2	M2b2	416	M2	U	0	19	low
1	1	C1b1	382	C1	U	1	20	low
1	2	Q2b2	412	Q2	U	0	21	low
1	3	A1c3	410	A1	F	1	22	low
1	1	A1c1	560	A1	F	0	23	low
1	2	A1b2	450	A1	U	1	24	low
1	2	C1b2	426	C1	U	0	25	low
1	1	Q1c1	494	Q1	F	1	26	low
1	3	A2c3	494	A2	F	0	27	low
1	2	A2a2	426	A2	T	1	28	low
1	3	C1b3	434	C1	U	0	29	low
1	3	V1b3	374	V1	U	1	30	low
1	2	C1aL2	328	C1	T	0	31	low
1	1	Q1a1	388	Q1	T	1	32	low
1	3	C1c3	518	C1	F	0	33	low
1	1	A2c1	440	A2	F	1	34	low
1	1	V1c1	360	V1	F	1	35	low
1	3	Q1c3	344	Q1	F	0	36	low
1	1	C1aL1	398	C1	T	1	37	low
1	2	V1b2	426	V1	U	0	38	low
1	2	A1c2	364	A1	F	1	39	low
1	1	C1c1	356	C1	F	0	40	low
1	1	C1aR1	412	C1	T	1	41	low
1	3	Q2a3	418	Q2	T	1	42	low
1	3	M2c3	564	M2	F	0	43	low
1	2	Q2c2	420	Q2	F	1	44	low
1	1	A2a1	388	A2	T	1	45	low
1	3	A2b3	350	A2	U	0	46	low
1	1	V1b1	362	V1	U	1	47	low
1	2	C1c2	472	C1	F	0	48	low
1	1	Q2a1	298	Q2	T	1	49	low
1	3	M2a3	328	M2	T	1	50	low
1	2	A2b2	368	A2	U	1	51	low
1	2	Q1a2	502	Q1	T	1	52	low
1	1	M2b1	276	M2	U	1	53	low
1	3	M2b3	320	M2	U	0	54	low
1	1	M2c1	420	M2	F	1	55	low
1	3	Q1b3	338	Q1	U	1	56	low
1	2	V1a2	400	V1	T	1	57	low
1	3	V1c3	494	V1	F	1	58	low
1	1	A2b1	334	A2	U	1	59	low
1	1	Q2b1	430	Q2	U	1	60	low
1	1	A1b1	382	A1	U	1	61	low
1	2	Q1c2	304	Q1	F	0	62	low
1	3	Q2b3	420	Q2	U	1	63	low
2	3	M2a3	2781	M2	T	1	1	low
2	3	A2a3	1610	A2	T	1	2	low
2	1	Q2a1	1467	Q2	T	1	3	low
2	1	Q1b1	2463	Q1	U	0	4	low
2	3	A1c3	1358	A1	F	0	5	low
2	3	V1a3	2361	V1	T	1	6	low
2	1	A1c1	1172	A1	F	0	7	low
2	2	A2c2	1315	A2	F	0	8	low
2	3	A1a3	2123	A1	T	1	9	low
2	2	A2b2	2739	A2	U	0	10	low
2	1	Q1c1	1317	Q1	F	0	11	low
2	3	M2b3	1389	M2	U	1	12	low
2	3	Q1a3	1533	Q1	T	1	13	low
2	3	C1b3	2125	C1	U	0	14	low
2	2	A1a2	952	A1	T	1	15	low
2	2	Q2a2	1164	Q2	T	1	16	low
2	1	M2b1	3351	M2	U	0	17	low
2	2	V1c2	2105	V1	F	0	18	low
2	1	Q2b1	1776	Q2	U	0	19	low
2	1	C1c1	1504	C1	F	0	20	low
2	1	A1b1	1459	A1	U	0	21	low
2	1	A2c1	1284	A2	F	0	22	low
2	2	A1c2	906	A1	F	0	23	low
2	1	C1aR1	4071	C1	T	1	24	low
2	1	C1b1	1206	C1	U	0	25	low
2	3	Q2c3	1194	Q2	F	0	26	low
2	2	Q1a2	1124	Q1	T	1	27	low
2	3	Q2a3	932	Q2	T	1	28	low
2	3	V1b3	1416	V1	U	0	29	low
2	1	Q1a1	1093	Q1	T	1	30	low
2	3	Q1b3	803	Q1	U	0	31	low
2	3	A2b3	1395	A2	U	0	32	low
2	1	M2c1	2742	M2	F	0	33	low
2	2	M2b2	2186	M2	U	0	34	low
2	1	V1a1	1957	V1	T	1	35	low
2	1	Q2c1	922	Q2	F	0	36	low
2	1	V1c1	1219	V1	F	0	37	low
2	1	V1b1	1008	V1	U	0	38	low
2	2	C1aL2	1511	C1	T	1	39	low
2	1	A1a1	909	A1	T	1	40	low
2	3	Q2b3	1567	Q2	U	0	41	low
2	2	V1a2	1340	V1	T	1	42	low
2	2	Q1c2	910	Q1	F	0	43	low
2	1	M2a1	1377	M2	T	1	44	low
2	1	C1aL1	825	C1	T	1	45	low
2	2	C1b2	822	C1	U	0	46	low
2	3	M2c3	867	M2	F	0	47	low
2	2	M2a2	1046	M2	T	1	48	low
2	3	V1c3	1273	V1	F	0	49	low
2	2	Q2c2	973	Q2	F	0	50	low
2	3	C1c3	889	C1	F	0	51	low
2	3	A1b3	759	A1	U	0	52	low
2	2	C1c2	656	C1	F	0	53	low
2	2	Q1b2	755	Q1	U	0	54	low
2	2	A1b2	684	A1	U	0	55	low
2	2	A2a2	856	A2	T	1	56	low
2	2	Q2b2	1273	Q2	U	0	57	low
2	1	A2b1	718	A2	U	0	58	low
2	3	A2c3	1034	A2	F	0	59	low
2	1	A2a1	892	A2	T	1	60	low
2	2	M2c2	794	M2	F	0	61	low
2	3	Q1c3	809	Q1	F	0	62	low
