SUBJECT	LANGUAGE	GENDER	AGE	SCALE	TRAINING
1	English	male	27	Sc	logical
2	English	male	31	Sc	logical
3	English	female	27	Sc	logical
4	English	male	32	Sc	logical
5	english	female	33	Sc	logical
6	english	female	36	Sc	logical
7	English	female	37	Sc	logical
8	English	male	23	Sc	logical
9	English	male	35	Sc	logical
10	english	male	54	Sc	logical
11	english	male	25	Sc	logical
12	English	female	55	Sc	logical
13	English	male	27	Sc	logical
14	English	female	25	Sc	logical
15	Japanese	female	56	Sc	logical
16	English	male	40	Sc	logical
17	English	male	24	Sc	logical
18	English	female	37	Sc	logical
19	English	male	29	Sc	logical
20	English	male	51	Sc	logical
21	English	male	30	Sc	logical
22	English	female	33	Sc	logical
23	English	female	68	Sc	logical
24	English	male	39	Sc	logical
25	English	female	22	Sc	logical
26	English	female	64	Sc	logical
27	English	female	56	Sc	logical
28	english	male	24	Sc	logical
29	English	male	21	So	logical
30	English	male	29	So	logical
31	english	female	37	So	logical
32	English	male	44	So	logical
33	English	male	30	So	logical
34	english	male	32	So	logical
35	English	male	31	So	logical
36	English	female	27	So	logical
37	English	female	66	So	logical
38	English	female	63	So	logical
39	English	female	51	So	logical
40	Russian	female	46	So	logical
41	English	female	28	So	logical
42	English	male	28	So	logical
43	English	female	54	So	logical
44	English	female	28	So	logical
45	English	male	31	So	logical
46	english	female	27	So	logical
47	English	male	42	So	logical
48	English	female	42	So	logical
49	english	female	31	So	logical
50	English	male	38	So	logical
51	English	female	42	So	logical
52	English	male	23	So	logical
53	english	male	38	So	logical
54	English	male	26	So	logical
55	english	male	43	So	logical
56	english	male	32	So	logical
57	English 	male	41	So	logical
58	ENGLISH	male	25	So	logical
59	English	female	43	So	logical
60	English	male	33	Lo	logical
61	english	male	47	Lo	logical
62	english	male	53	Lo	logical
63	English	male	35	Lo	logical
64	English	female	53	Lo	logical
65	English	male	28	Lo	logical
66	English	female	44	Lo	logical
67	english	male	31	Lo	logical
68	English	female	53	Lo	logical
69	English	female	56	Lo	logical
70	english	male	48	Lo	logical
71	English	male	28	Lo	logical
72	English	male	36	Lo	logical
73	English	male	35	Lo	logical
74	English	male	35	Lo	logical
75	English	female	31	Lo	logical
76	English	female	29	Lo	logical
77	english	male	52	Lo	logical
78	English	female	26	Lo	logical
79	English	female	31	Lo	logical
80	English	male	51	Lo	logical
81	english	male	51	Lo	logical
82	english	male	73	Lo	logical
83	English	male	34	Lo	logical
84	English	male	68	Lo	logical
85	English	female	35	Lo	logical
86	Russian	female	45	Lo	logical
87	english	female	32	Lo	logical
88	English	male	27	Lo	logical
89	German	female	34	Mi	logical
90	English	male	25	Mi	logical
91	English	male	28	Mi	logical
92	English	female	28	Mi	logical
93	English	female	45	Mi	logical
