SUBJECT	ITEM	CONDITION	RT	TRAINING	SCALE	TYPE	SENTENCE	RESP	TRIAL
1	3	ScT2_3	776	logical	Sc	T	2	1	1
1	1	ScF1_1	1183	logical	Sc	F	1	0	2
1	1	ScU1_1	565	logical	Sc	U	1	0	3
1	3	ScU1_3	543	logical	Sc	U	1	1	4
1	1	ScT2_1	718	logical	Sc	T	2	1	5
1	1	ScT1_1	565	logical	Sc	T	1	1	6
1	2	ScT2_2	686	logical	Sc	T	2	1	7
1	2	ScF1_2	1007	logical	Sc	F	1	0	8
1	1	ScU2_1	574	logical	Sc	U	2	1	9
1	2	ScU1_2	927	logical	Sc	U	1	1	10
1	3	ScF2_3	1022	logical	Sc	F	2	0	11
1	3	ScU2_3	654	logical	Sc	U	2	1	12
1	1	ScF2_1	2756	logical	Sc	F	2	0	13
1	3	ScT1_3	798	logical	Sc	T	1	1	14
1	2	ScU2_2	1366	logical	Sc	U	2	1	15
1	2	ScF2_2	751	logical	Sc	F	2	0	16
1	3	ScF1_3	1486	logical	Sc	F	1	0	17
1	2	ScT1_2	670	logical	Sc	T	1	1	18
2	1	ScF2_1	1188	logical	Sc	F	2	0	1
2	3	ScT1_3	1052	logical	Sc	T	1	1	2
2	2	ScF2_2	1041	logical	Sc	F	2	0	3
2	3	ScT2_3	938	logical	Sc	T	2	1	4
2	2	ScU1_2	923	logical	Sc	U	1	1	5
2	1	ScT1_1	1027	logical	Sc	T	1	1	6
2	2	ScF1_2	761	logical	Sc	F	1	0	7
2	1	ScT2_1	1026	logical	Sc	T	2	1	8
2	1	ScU1_1	764	logical	Sc	U	1	1	9
2	3	ScF2_3	815	logical	Sc	F	2	0	10
2	3	ScU2_3	937	logical	Sc	U	2	0	11
2	2	ScU2_2	1214	logical	Sc	U	2	1	12
2	1	ScU2_1	932	logical	Sc	U	2	1	13
2	2	ScT1_2	910	logical	Sc	T	1	1	14
2	3	ScU1_3	730	logical	Sc	U	1	1	15
2	1	ScF1_1	905	logical	Sc	F	1	0	16
2	2	ScT2_2	817	logical	Sc	T	2	1	17
2	3	ScF1_3	784	logical	Sc	F	1	0	18
3	2	ScF1_2	1489	logical	Sc	F	1	0	1
3	2	ScF2_2	1652	logical	Sc	F	2	0	2
3	3	ScF2_3	2292	logical	Sc	F	2	0	3
3	3	ScT1_3	1182	logical	Sc	T	1	1	4
3	2	ScU1_2	1173	logical	Sc	U	1	1	5
3	2	ScU2_2	923	logical	Sc	U	2	1	6
3	1	ScU1_1	924	logical	Sc	U	1	1	7
3	2	ScT2_2	1029	logical	Sc	T	2	1	8
3	1	ScT2_1	2727	logical	Sc	T	2	1	9
3	1	ScF2_1	958	logical	Sc	F	2	0	10
3	3	ScF1_3	1141	logical	Sc	F	1	0	11
3	1	ScF1_1	1085	logical	Sc	F	1	0	12
3	2	ScT1_2	1404	logical	Sc	T	1	1	13
